City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Bergen,NO,2020-10-18 04:32:29,60.39,5.33,39.99,80,78,17.22
241,Lata,PT,2020-10-18 04:32:29,40.16,-8.33,57.99,100,20,4.7
242,Nouadhibou,MR,2020-10-18 04:32:29,20.93,-17.03,75.2,60,0,16.11
243,Lubao,PH,2020-10-18 04:32:29,14.92,120.55,82.4,83,90,9.17
244,Miquelon,PM,2020-10-18 04:32:30,47.1,-56.38,51.8,100,90,18.34
245,Acarau,BR,2020-10-18 04:32:30,-2.89,-40.12,79.41,77,97,16.75
246,Vila Velha,BR,2020-10-18 04:32:30,-20.33,-40.29,68.0,94,75,5.59
247,Bubaque,GW,2020-10-18 04:32:30,11.28,-15.83,81.64,86,28,11.95
248,Erzin,TR,2020-10-18 04:32:31,36.96,36.2,69.01,87,4,1.01
249,Brae,GB,2020-10-18 04:32:31,60.4,-1.35,39.2,67,72,8.05
250,Sakassou,CI,2020-10-18 04:32:32,7.45,-5.29,69.8,100,40,4.7
251,Oranjemund,NA,2020-10-18 04:32:32,-28.55,16.43,57.33,90,0,9.8
252,Kasongo-Lunda,CD,2020-10-18 04:32:33,-6.47,16.82,70.14,92,34,0.72
253,Sherghati,IN,2020-10-18 04:32:33,24.57,84.78,86.0,74,20,2.86
254,Ibra,OM,2020-10-18 04:32:33,22.69,58.53,87.48,11,32,11.34
255,San Ignacio,BZ,2020-10-18 04:32:33,17.16,-89.07,73.99,89,95,0.74
256,Songea,TZ,2020-10-18 04:32:33,-10.68,35.65,66.2,77,20,4.7
257,Barrow,US,2020-10-18 04:30:02,71.29,-156.79,19.4,79,1,12.75
258,Te Anau,NZ,2020-10-18 04:32:34,-45.42,167.72,55.99,66,93,3.62
259,Maragogi,BR,2020-10-18 04:32:34,-9.01,-35.22,73.87,82,3,8.52
260,Chumikan,RU,2020-10-18 04:32:34,54.72,135.31,32.07,88,100,17.94
261,Santo Domingo,DO,2020-10-18 04:32:35,18.5,-69.99,79.0,94,40,3.0
262,Sokol,RU,2020-10-18 04:32:35,59.46,40.12,32.13,96,100,8.28
263,Inhambane,MZ,2020-10-18 04:32:35,-23.86,35.38,71.6,78,40,9.17
264,Ilulissat,GL,2020-10-18 04:32:36,69.22,-51.1,37.4,86,100,5.03
265,Yulara,AU,2020-10-18 04:32:36,-25.24,130.99,91.4,26,71,12.75
266,Victoria,HK,2020-10-18 04:32:08,22.29,114.16,82.99,57,20,9.17
267,Dori,BF,2020-10-18 04:32:36,14.04,-0.03,83.95,41,0,9.64
268,Mangai,CD,2020-10-18 04:32:36,-4.05,19.53,70.9,98,100,1.16
269,Gombe,NG,2020-10-18 04:32:37,10.29,11.17,71.89,86,2,4.43
270,Pavlohrad,UA,2020-10-18 04:32:37,48.52,35.87,51.8,93,75,6.71
271,Muros,ES,2020-10-18 04:32:37,42.78,-9.06,57.99,90,100,1.99
272,Saint Anthony,US,2020-10-18 04:32:38,45.02,-93.22,39.2,69,1,11.41
273,Kupang,ID,2020-10-18 04:27:39,-10.17,123.58,87.8,62,40,11.41
274,Korgen,NO,2020-10-18 04:32:38,66.08,13.82,30.99,88,96,1.99
275,Margate,GB,2020-10-18 04:32:38,51.38,1.39,52.0,66,52,9.82
276,Sakaiminato,JP,2020-10-18 04:32:38,35.55,133.23,69.8,52,20,6.93
277,Naze,JP,2020-10-18 04:32:39,28.37,129.48,78.8,83,75,14.99
278,Charters Towers,AU,2020-10-18 04:32:39,-20.1,146.27,90.19,18,0,3.51
279,Nuuk,GL,2020-10-18 04:28:02,64.18,-51.72,39.2,100,100,10.29
